lonxa,fecha,ingresos_real,ingresos_predicho,error_absoluto,error_pct,modelo,fecha_ejecucion
Burela,2024-12-01,5420163.9,5186934.5,233229.40000000037,4.302995339310687,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-01-01,4530997.15,4160282.75,370714.4000000004,8.181739862714334,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-02-01,3949042.49,3603971.5,345070.9900000002,8.738092610393771,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-03-01,4981833.34,4963379.5,18453.83999999985,0.3704226685351111,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-04-01,4773006.22,4170988.0,602018.2199999997,12.612977906406329,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-05-01,3452607.91,4257467.0,804859.0899999999,23.311627354755142,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-06-01,4290446.42,4642525.5,352079.0800000001,8.206117628197768,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-07-01,6730366.78,6054643.5,675723.2800000003,10.039917616495787,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-08-01,6197822.91,5892728.0,305094.91000000015,4.922614189375091,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-09-01,4892652.41,6198241.5,1305589.0899999999,26.684689215435185,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-10-01,4689458.1,4614399.5,75058.59999999963,1.600581525613794,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-11-01,4242874.6,4668454.5,425579.9000000004,10.030461423488699,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Burela,2025-12-01,5059188.67,4957804.0,101384.66999999993,2.003970925243235,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-01-01,4401253.88,4244390.5,156863.3799999999,3.5640611579534673,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-02-01,3830938.66,3602397.5,228541.16000000015,5.965670042860988,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-03-01,4809745.98,5013713.5,203967.51999999955,4.240712936777578,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
Celeiro,2024-04-01,4265481.85,4429437.0,163955.15000000037,3.8437662089688738,XGBoost_por_lonxa,2026-06-10 08:07:50.310831
